id,name,name_local,type,closed_year,continent,country,city,address,latitude,longitude,phone,services
store-lego-store-eastland,LEGO® Store Eastland,,official,,Oceania,Australia,Melbourne,"Shop 2109A-2110, Level 2, Eastland Shopping Centre, 175 Maroondah Highway, Ringwood VIC 3134, Australia",-37.81324,145.22907,,bam;pab
store-lego-store-highpoint,LEGO® Store Highpoint,,official,,Oceania,Australia,Melbourne,"120-200 Rosamond Road, Maribyrnong VIC 3032, Australia",-37.81425,144.96317,(03) 8398 9192,bam;pab
store-lego-store-melbourne-central,LEGO® Store Melbourne Central,,official,,Oceania,Australia,Melbourne,"Level 2 Cnr LaTrobe and Swanston Streets Melbourne Central, Melbourne VIC 3000, Australia",-37.81425,144.96317,(03) 8398 9193,bam;pab
store-legoland-discovery-centre-melbourne,LEGOLAND Discovery Centre Melbourne,,official,,Oceania,Australia,Melbourne,,-37.81425,144.96317,,
store-lego-store-charlestown,LEGO® Store Charlestown,,official,,Oceania,Australia,Newcastle,"Shop 2071/30 Pearson St, Newcastle 2290, Australia",-32.9193,151.77953,(02) 4942 3787,bam;pab
store-lego-store-karrinyup,LEGO® Store Karrinyup,,official,,Oceania,Australia,Perth,"Shop SP022, Ground Level, Karrinyup Shopping Centre, 200 Karrinyup Rd, Karrinyup WA 6018, Australia",-31.9559,115.86058,(08) 9326 0801,bam;pab
store-lego-store-westfield-booragoon,LEGO® Store Westfield Booragoon,,official,,Oceania,Australia,Perth,"Level 1, Shop 127 125-133 Riseley Street, Booragoon Western Australia 6154, Australia",-31.9559,115.86058,(08) 9326 0802,bam;pab
store-lego-store-sunshine-plaza,LEGO Store Sunshine Plaza,,official,,Oceania,Australia,Sunshine Coast,"Shop GD551, Sunshine Plaza Shopping Centre, 154-164 Horton Parade, Maroochydore, QLD 4558, Australia",-26.65443,153.09337,07 5554 9437,bam;pab
store-lego-store-in-the-australian-head-office,LEGO Store in the Australian Head Office,,official,,Oceania,Australia,Sydney,,-33.86984,151.20828,,bam;pab
store-lego-store-macquire,LEGO Store Macquarie,,official,,Oceania,Australia,Sydney,,-33.86984,151.20828,,bam;pab
store-lego-store-parramatta,LEGO Store Parramatta,,official,,Oceania,Australia,Sydney,,-33.86984,151.20828,,bam;pab
store-lego-store-penrith,LEGO Store Penrith,,official,,Oceania,Australia,Sydney,,-33.86984,151.20828,,bam;pab
store-lego-store-sydney-airport-syd-airport-store,LEGO Store Sydney Airport - SYD,,official,,Oceania,Australia,Sydney,"Sydney Airport, Terminal 3 Domestic, Mascot 2020, Australia",-33.86984,151.20828,,
store-lego-store-bondi-junction,LEGO® Store Bondi Junction,,closed,2025,Oceania,Australia,Sydney,"AG LEGO® Certified Store, Westfield Bondi Junction, 500 Oxford St, Bondi Junction NSW 2022, Australia",-33.89133,151.25004,,
store-lego-store-broadway,LEGO® Store Broadway,,official,,Oceania,Australia,Sydney,"Level 2, Shop 208/1 Bay St, Ultimo 2007, Australia",-33.86984,151.20828,(02) 8275 5182,bam;pab
store-lego-store-castle-towers-shopping-centre,LEGO® Store Castle Towers Shopping Centre,,official,,Oceania,Australia,Sydney,"Shop 327 Castle Towers Shopping Centre, Castle Towers NSW 2154, Australia",-33.86984,151.20828,(02) 8275 5184,bam;pab
store-lego-store-macquarie-centre,LEGO® Store Macquarie Centre,,official,,Oceania,Australia,Sydney,"Shop 3334/3, Macquarie Shopping Centre Cnr Herring Rd & Waterloo Rd, North Ryde NSW 2113, Australia",-33.86984,151.20828,(02) 8275 5186,bam;pab
store-lego-store-pitt-st-mall,LEGO® Store Pitt St Mall,,official,,Oceania,Australia,Sydney,"400 George Street, entry is Via Pitt Street Mall, Sydney 2000, Australia",-33.86984,151.20828,(02) 82755120,bam;pab
store-lego-store-westfield-miranda,LEGO® Store Westfield Miranda,,official,,Oceania,Australia,Sydney,"600 Kingsway Shop 3166-1367, Level 3, Miranda NSW 2228, Australia",-33.86984,151.20828,(02) 8275 5187,bam;pab
store-lego-store-westfield-parramatta,LEGO® Store Westfield Parramatta,,official,,Oceania,Australia,Sydney,"Shop 3077 159-175 Church Street, Parramatta NSW 2150, Australia",-33.86984,151.20828,(02) 8275 5189,bam;pab
store-lego-store-westfield-penrith,LEGO® Store Westfield Penrith,,official,,Oceania,Australia,Sydney,"Level 2, Shop 311/312 585 High Street, Penrith New South Wales 2750, Australia",-33.86984,151.20828,(02) 8275 5185,bam;pab
store-lego-store-townsville,LEGO® Store Townsville,,official,,Oceania,Australia,Townsville,"Shop 205, Aitkenvale, Aitkenvale QLD 4814, Australia",-19.25694,146.82395,(07) 5554 9403,bam;pab
store-lego-store-vienna-scs,LEGO® Store Vienna SCS,,official,,Europe,Austria,Vienna,"Shopping City Süd, Unit 6, Galerie 164, SCS-Strasse, Vösendorf 2334, Austria",48.12484,16.32894,(+43) 1928081200,bam;pab
store-lego-store-wien-donau-zentrum,LEGO® Store Wien Donau Zentrum,,official,,Europe,Austria,Vienna,"Donau Zentrum, Wagramer Straße 81, Wien 1220, Austria",48.20835,16.3725,+43 1928083500,bam;pab
store-lego-store-bahrain-city-centre,LEGO® Store Bahrain City Centre,,official,,Asia,Bahrain,Manama,"Manama, Bahrain, Bahrain",26.2235,50.58224,+973 1717 3077,bam;pab
store-lego-store-wijnegem,LEGO® Store Wijnegem,,official,,Europe,Belgium,Antwerp,"Wijnegem - Shop Eat Enjoy, Turnhoutsebaan 5, Space 526, Wijnegem 2110, Belgium",51.22111,4.39971,+32 33180025,bam;pab
store-lego-store-brussels,LEGO® Store Brussels,,official,,Europe,Belgium,Brussels,"117-119 Rue Neuve, Brussels 1000, Belgium",50.84674,4.35249,+32 27906802,bam;pab
store-legoland-discovery-centre-brussels,LEGOLAND Discovery Centre Brussels,,official,,Europe,Belgium,Brussels,,50.84674,4.35249,,
store-lego-store-sarajevo,LEGO® Store Sarajevo,,official,,Europe,Bosnia and Herzegovina,Sarajevo,"Franca Lehara 2, Sarajevo 71000, Bosnia and Herzegovina",43.85707,18.41261,+387 33 590-579,bam;pab
store-lego-store-balneario,LEGO® Store Balneário,,official,,South America,Brazil,Balneário Camboriú,"Piso L1, Balneário Shopping, Balneário Camboriú, Brazil",-26.99244,-48.63398,,bam;pab
store-lego-store-boulevard-shopping-belem,LEGO® Store Boulevard Shopping Belem,,official,,South America,Brazil,Belém,"Av. Visc. de Souza Franco, 776 - LJ 324/325 NIVEL 3 - Reduto, Belem 66053-000, Brazil",-1.45056,-48.46825,+55 119 968 96131,bam;pab
store-lego-store-bh-shopping,LEGO® Store BH Shopping,,official,,South America,Brazil,Belo Horizonte,"BH Shopping - BR-356, 3049 - 72, Belo Horizonte 30320-690, Brazil",-19.92273,-43.94509,+55 31 3228 4001,bam;pab
store-lego-store-iguatemi-campinas,LEGO® Store Iguatemí Campinas,,official,,South America,Brazil,Campinas,"Av. Iguatemi, 777 - Vila Brandina, Campinas 13092-599, Brazil",-22.90564,-47.05956,+55 19 3252 1586,bam;pab
store-lego-store-shopping-estacao-cuiaba,LEGO® Store Shopping Estação Cuiabá,,official,,South America,Brazil,Cuiabá,"Av. Miguel Sutil 9300 - Santa Rosa, Cuiabá - MG, Cuiabá 78040-365, Brazil",-15.59867,-56.09913,+55 659 9820 5801,bam;pab
store-lego-store-patio-batel,LEGO® Store Pátio Batel,,official,,South America,Brazil,Curitiba,"Av. do Batel, 1868 - 265, Batel, Curitiba 80420-090, Brazil",-25.4296,-49.27127,+554130264991,bam;pab
store-lego-store-iguatemi-fortaleza,LEGO® Store Iguatemi Fortaleza,,official,,South America,Brazil,Fortaleza,"Av. Washington Soares, 85 - Edson Queiroz, Fortaleza 60811-341, Brazil",-3.79322,-38.52804,+55 085 98129-3414,bam;pab
store-lego-store-flamboyant-goiania,LEGO® Store Flamboyant Goiânia,,official,,South America,Brazil,Goiânia,"Av. Deputado Jamel Cecilio 3300, Jardim Goias - Goiânia, GO, Goiânia 74085-580, Brazil",-16.68088,-49.25327,,bam;pab
store-lego-store-manauara,LEGO® Store Manauara,,official,,South America,Brazil,Manaus,"Av. Mario Ypiranga, 1300 - Adrianópolis, Manaus, AM, Manaus 69053-165, Brazil",-3.13163,-59.9825,,bam;pab
store-lego-store-iguatemi-porto-alegre,LEGO® Store Iguatemi Porto Alegre,,official,,South America,Brazil,Porto Alegre,"Av. João Wallig, 1800 - Passo, Porto Alegre 91340-000, Brazil",-30.0325,-51.23038,+555130167631,bam;pab
store-lego-store-shopping-recife,LEGO® Store Shopping Recife,,official,,South America,Brazil,Recife,"R. Padre Carapuceiro 777 - Boa Viagem, Recife 51020-900, Brazil",-8.05849,-34.88482,+55 81 9992 0096,bam;pab
store-lego-store-riberao-shopping,LEGO® Store Riberão Shopping,,official,,South America,Brazil,Ribeirão Preto,"Av. Cel. Fernando Ferreira Leite, 154 - Loja 52 - Jardim California, Ribeirão Preto - SP, Brazil, Riberão Preto 14026-900, Brazil",-21.17763,-47.8101,+55 169 9641 3942,bam;pab
store-lego-store-barra-shopping,LEGO® Store Barra Shopping,,official,,South America,Brazil,Rio de Janeiro,"Av. das Américas, 4666, Rio de Janeiro 22640-970, Brazil",-22.91101,-43.20937,+55 21 3514 5105,bam;pab
store-lego-store-shopping-leblon,LEGO® Store Shopping Leblon,,official,,South America,Brazil,Rio de Janeiro,"Av. Afrânio de Melo Franco, 290 - loja 108 I/J, 1 piso - Leblon, Rio de Janeiro - RJ, Rio de Janeiro 22430-060, Brazil",-22.91101,-43.20937,+55 21 99032 4541,bam;pab
store-lego-store-centro,LEGO® Store Centro,,official,,South America,Brazil,Rio de Janeiro / SP,,-23.44612,-46.53601,,bam;pab
store-lego-store-salvador-shopping,LEGO® Store Salvador Shopping,,official,,South America,Brazil,Salvador,"Av. Tancredo Neves, 3133 - 272, Salvador 41820-910, Brazil",-12.98225,-38.48128,+55 71 3341 7636,bam;pab
store-lego-store-analia-franco,LEGO® Store Anália Franco,,official,,South America,Brazil,São Paulo,"Av. Reg. Feijó, 1739 - Vila Reg. Feijó, São Paulo - SP, São Paulo 03342-000, Brazil",-23.55065,-46.63338,,bam;pab
store-lego-store-centre-norte,LEGO® Store Centre Norte,,official,,South America,Brazil,São Paulo,"Travessa Casalbuono, 120 Loja 311 Vila Guilherme, São Paulo 02089-900, Brazil",-23.55065,-46.63338,+55 11 93097-4000,bam;pab
store-lego-store-cidade-jardim,LEGO® Store Cidade Jardim,,official,,South America,Brazil,São Paulo,"Av. Magalhães de Castro,, São Paulo 05502-001, Brazil",-23.55065,-46.63338,+551123958012,bam;pab
store-lego-store-moema,LEGO® Store Moema,,official,,South America,Brazil,São Paulo,"Rua Gaivota, 1301. Moema - São Paulo - SP, São Paulo 04522-033, Brazil",-23.55065,-46.63338,+55 11 98139 6845,bam;pab
store-lego-store-morumbi,LEGO® Store Morumbi,,official,,South America,Brazil,São Paulo,"Av. Roque Petroni Júnior, 1089 - Loja 111/110b Jardim das Acacias, Sao Paulo 04707-900, Brazil",-23.55065,-46.63338,+55 11 94173 3352,bam;pab
store-lego-store-oscar-freiere,LEGO® Store Oscar Freire,,official,,South America,Brazil,São Paulo,,-23.55065,-46.63338,,bam;pab
store-lego-store-villalobos,LEGO® Store VillaLobos,,official,,South America,Brazil,São Paulo,"Av. das Nações Unidas, 4777, Alto de Pinheiros 05477-000, Brazil",-23.55065,-46.63338,+55 11 3021 5686,bam;pab
store-lego-store-sofia,LEGO® Store Sofia,,official,,Europe,Bulgaria,Sofia,"Paradise Center ground floor Blvd. Cherni vrah 100, 1407 Hladilnika, Sofia 1407, Bulgaria",42.6977,23.32174,+359 877788118,bam;pab
store-lego-store-calgary,LEGO® Store Calgary,,official,,North America,Canada,Calgary,"6455 Macleod Trail SW, Chinook Centre Unit 0203, Calgary T2H 0K8, Canada",51.04561,-114.05754,+1 (587) 402-6345,bam;pab
store-lego-store-edmonton-southgate-centre,LEGO® Store Edmonton - Southgate Centre,,official,,North America,Canada,Edmonton,"5015 111 St NW #424, Edmonton T6H 4M6, Canada",53.54621,-113.49124,+1 (825) 450-3083,bam;pab
store-lego-store-edmonton-west-edmonton-mall,LEGO® Store Edmonton - West Edmonton Mall,,official,,North America,Canada,Edmonton,"West Edmonton Mall, 8882-170th Street, Unit #V182, Edmonton T5T 4M2, Canada",53.54621,-113.49124,+1 (825) 901-8712,bam;minifigure_factory;pab
store-lego-store-montreal-laval,LEGO® Store Montreal - Laval,,official,,North America,Canada,Laval,"3035 Boulevard le Carrefour, Laval H7T 1C8, Canada",45.55711,-73.72118,+1 (579) 805-5010,bam;pab
store-lego-store-cf-markville,LEGO Store CF Markville,,official,,North America,Canada,Markham,,43.85637,-79.33768,,
store-lego-store-square-one-shopping-centre,LEGO Store Square One Shopping Centre,,official,,North America,Canada,Mississauga,"100 City Centre Dr, Mississauga L5B 2C9, Canada",43.59264,-79.64369,905-270-7771,
store-lego-travel-retail-store-toronto-pearson-airport,LEGO Travel Retail Store Toronto Pearson Airport,,official,,North America,Canada,Mississauga,"Terminal 3 (post-security, CAN/INTL), Mississauga (Toronto Pearson Airport), Canada",43.6872,-79.61795,,
store-lego-store-ottawa,LEGO® Store Ottawa,,official,,North America,Canada,Ottawa,"50 Rideau Street, Ottawa K1N 9J7, Canada",45.42088,-75.69011,+1 (613) 319-2110,bam;pab
store-lego-store-montreal-pointe-claire,LEGO® Store Montreal - Pointe-Claire,,official,,North America,Canada,Pointe-Claire,"6801 Trans-Canada Highway, Pointe-Claire H9R 5J2, Canada",45.45668,-73.80674,+1 (514) 900-1955,bam;pab
store-lego-store-richmond-centre,LEGO® Store Richmond Centre,,official,,North America,Canada,Richmond,"6551 No. 3 Road, #1440, Richmond V6Y 2B6, Canada",49.16317,-123.13741,+1 (778) 804-9617,bam;pab
store-lego-store-guilford-town-centre,LEGO® Store Guilford Town Centre,,official,,North America,Canada,Surrey,"10355 152 St, Unit 1036, Guildford Town Centre, Surrey V3R 7C1, Canada",49.1913,-122.84914,+1 (604) 706-8521,bam;pab
store-lego-store-cf-toronto-eaton-centre,LEGO Store CF Toronto Eaton Centre,,official,,North America,Canada,Toronto,"220 Yonge St, 3rd level, Toronto, Canada",43.65348,-79.38393,,
store-lego-store-toronto-fairview-mall,LEGO® Store Toronto - Fairview Mall,,official,,North America,Canada,Toronto,"1800 Sheppard Avenue East, Toronto M2J 5A7, Canada",43.65348,-79.38393,+1 (437) 523-4598,bam;pab
store-lego-store-toronto-sherway-gardens,LEGO® Store Toronto - Sherway Gardens,,official,,North America,Canada,Toronto,"25 Sherway Drive, Toronto M9C 1B8, Canada",43.65348,-79.38393,+1 (437) 523-4305,bam;pab
store-lego-store-toronto-yorkdale,LEGO® Store Toronto - Yorkdale,,official,,North America,Canada,Toronto,"1 Yorkdale Rd, Unit 55, Yorkdale Shopping Centre, Toronto M6A 3A1, Canada",43.65348,-79.38393,(437) 782-8770,bam;pab
store-legoland-discovery-centre-toronto,LEGOLAND Discovery Centre Toronto,,official,,North America,Canada,Toronto,,43.65348,-79.38393,,
store-lego-store-winnipeg,LEGO® Store Winnipeg,,official,,North America,Canada,Winnipeg,"1485 Portage Avenue Unit 0210A, Winnipeg R3G 0W4, Canada",49.89554,-97.13846,+1 (431) 800-3117,bam;pab
store-lego-store-calama,LEGO® Store Calama,,official,,South America,Chile,Calama,"AV. Balmaceda 3242, 1390000, Chile",-22.46239,-68.92722,+562 2656 9667,bam;pab
store-lego-store-el-trebol,LEGO® Store El Trébol,,official,,South America,Chile,Concepción,"Av. Pdte. Jorge Alessandri Rodriguez 3177, Talcahuano, Bío Bío 4260000, Chile",-36.82707,-73.05021,+56 9 99130029,bam;pab
store-lego-store-alto-las-condes,LEGO® Store Alto Las Condes,,official,,South America,Chile,Santiago,"Av. Presidente Kennedy 9001, l, Santiago 7550000, Chile",-33.4377,-70.65107,+562 2656 9666,bam;pab
store-lego-store-costanera-centre,LEGO® Store Costanera Centre,,official,,South America,Chile,Santiago,"Avenida Andrés Bello 2425, local 1149, Santiago de Chile 7510689, Chile",-33.4377,-70.65107,+562 2656 9668,bam;pab
store-lego-store-egana,LEGO® Store Egaña,,official,,South America,Chile,Santiago,"Av. Larrain 5862, La Reina, Región Metropolitana, Chile, Santiago 7870154, Chile",-33.4377,-70.65107,+562 9 4223 8387,bam;pab
store-lego-store-los-trapenses,LEGO® Store Los Trapenses,,official,,South America,Chile,Santiago,"Jose Alcalde Delano 10533,, Barnechea 7690000, Chile",-33.4377,-70.65107,+562 2656 9671,bam;pab
store-lego-store-manquehue,LEGO® Store Manquehue,,official,,South America,Chile,Santiago,"Av. Manquehue Nte. 1255, Metropolitana 7630000, Chile",-33.4377,-70.65107,+562 2656 9669,bam;pab
store-lego-store-parque-arauco,LEGO® Store Parque Arauco,,official,,South America,Chile,Santiago,"Mall Parque Arauco, Las Condes, Santiago, Chile",-33.4377,-70.65107,,bam;pab
store-lego-store-vespucio,LEGO® Store Vespucio,,official,,South America,Chile,Santiago,"Av. Vicuña Mackenna Ote. 7110, Santiago de Chile 8242165, Chile",-33.4377,-70.65107,+562 2656 9672,bam;pab
store-lego-store-marina-arauco,LEGO® Store Marina Arauco,,official,,South America,Chile,Viña del Mar,"Av. 14 Norte 880 local 25, Viña del Mar 2530900, Chile",-33.02445,-71.55176,+562 2656 9673,bam;pab
store-lego-store-the-mix-c-one-anshan,LEGO® Store The Mix C One Anshan,乐高(鞍山万象汇店),official,,Asia,China,Anshan,"L113, 700 Jianguo Avenue,, Anshan, China",41.1076,122.99023,0412-2504242,bam;pab
store-lego-store-baotou-qingshan-wanda,LEGO® Store Baotou Qingshan Wanda,包头乐高授权专卖店(青山万达店),official,,Asia,China,Baotou,包头市青山区万达广场1楼,40.6591,109.8535,,
store-lego-beacon-store-xidan-joy-city,LEGO® Beacon Store Xidan Joy City,,official,,Asia,China,Beijing,"Xidan Commercial Street, Xidan Joy City shopping complex, Beijing, China",39.90571,116.3913,,
store-lego-store-beijing-chaoyang-heshenghui,LEGO® Store Beijing Chaoyang Heshenghui,合生汇,official,,Asia,China,Beijing,北京市朝阳区双井街道西大望路与茂兴中街交汇处,39.894,116.4802,,
store-lego-store-beijing-chongwenmen-new-world,LEGO® Store Beijing Chongwenmen New World,北京新世界百货,official,,Asia,China,Beijing,北京市东城区崇文门外大街3号,39.8985,116.418,,
store-lego-store-beijing-dongba-wanda-plaza-lego,LEGO® Store Beijing Dongba Wanda Plaza,LEGO(北京东坝万达广场店),official,,Asia,China,Beijing,北京市朝阳区北京东坝万达广场1层,39.9612,116.5481,,
store-lego-store-beijing-fengke-wanda,LEGO® Store Beijing Fengke Wanda,乐高(万达广场丰科店),official,,Asia,China,Beijing,北京市丰台区丰科路6号,39.8245,116.2994,,
store-lego-store-beijing-fenglan-international-shopping,LEGO® Store Beijing Fenglan International Shopping,,official,,Asia,China,Beijing,"Fenglan Mall,32, Xizhimen N St, Beijing, China",39.90571,116.3913,010-62252522,bam;pab
store-lego-store-beijing-link-reit-zhongguancun,LEGO® Store Beijing Link REIT Zhongguancun,领展购物广场·中关村,official,,Asia,China,Beijing,北京市海淀区丹棱街甲1号,39.9794,116.3143,,
store-lego-store-beijing-r-f-plaza,LEGO® Store Beijing R&F Plaza,乐高(北京富力广场店),official,,Asia,China,Beijing,北京市朝阳区东三环中路65号北京富力广场购物中心1F,39.8953,116.4609,,
store-lego-store-beijing-xizhimen-k11-mall,LEGO® Store Beijing Xizhimen K11,凯德MALL西直门广场(暂停营业),official,,Asia,China,Beijing,北京市西城区西直门外大街1号,39.9418,116.3528,,
store-lego-store-bhg-tiantongyuan-mall,LEGO® Store BHG Tiantongyuan Mall,,official,,Asia,China,Beijing,"F1-15 BHG Tiantongyuan Mall,, Beijing, China",39.90571,116.3913,010-57859895,bam;pab
store-lego-store-bhg-wanliu-mall,LEGO® Store BHG Wanliu Mall,乐高(万柳华联店),official,,Asia,China,Beijing,"F1-04, 2 Bagou Road,, Beijing, China",39.90571,116.3913,010-82589548,bam;pab
store-lego-store-capitamall-taiyanggong,LEGO® Store CapitaMall Taiyanggong,乐高(太阳宫凯德MALL店),official,,Asia,China,Beijing,"12 Taiyanggong Middle Road, Beijing, China",39.90571,116.3913,010-84430608,bam;pab
store-lego-store-capitamall-tiangongyuan,LEGO® Store CapitaMall Tiangongyuan,,official,,Asia,China,Beijing,"L1-25B, Xinyuan St./Huatuo Rd., Beijing, China",39.90571,116.3913,010-60279360,bam;pab
store-lego-store-chaoyang-joy-city,LEGO® Store Chaoyang Joy City,朝阳大悦城,official,,Asia,China,Beijing,北京市朝阳区朝阳北路101号,39.90571,116.3913,010-85510927,bam;pab
store-lego-store-china-world-mall,LEGO® Store China World Mall,,official,,Asia,China,Beijing,"1 Jiangguomen Outer Street,, Beijing, China",39.90571,116.3913,010-85959221,bam;pab
store-lego-store-colourful-city,LEGO® Store Colourful City,,official,,Asia,China,Beijing,,39.90571,116.3913,,bam;pab
store-lego-store-daxing-paradise-walk,LEGO® Store Daxing Paradise Walk,,official,,Asia,China,Beijing,"7 Yongxing Road, Beijing, China",39.90571,116.3913,010-61253788,bam;pab
store-lego-store-fangshan-paradise-walk,LEGO® Store Fangshan Paradise Walk,,official,,Asia,China,Beijing,"North Gongchen Street, Beijing, China",39.90571,116.3913,010-61352021,bam;pab
store-lego-store-han-s-plaza,LEGO® Store Han's Plaza,,official,,Asia,China,Beijing,"L1, 2 South Ronghua Road,, Beijing, China",39.90571,116.3913,010-67870891,bam;pab
store-lego-store-huawei-plaza,LEGO® Store Huawei Plaza,乐高(华威潮铺街店),official,,Asia,China,Beijing,"No. 130 Xidanbei Street, Beijing, China",39.90571,116.3913,010-66012245,bam;pab
store-lego-store-in-city-beijing,LEGO® Store In City Beijing,,official,,Asia,China,Beijing,"12 Cuiwei Road, Beijing, China",39.90571,116.3913,010-68280720,bam;pab
store-lego-store-indigo,LEGO® Store Indigo,,official,,Asia,China,Beijing,"LG-47, 18 Jiuxianqiao Road, Beijing, China",39.90571,116.3913,010-84200841,bam;pab
store-lego-store-livat,LEGO® Store Livat,,official,,Asia,China,Beijing,"5-01-128-SU, 2 West Hongfu Rd., Beijing, China",39.90571,116.3913,010-80223236,bam;pab
store-lego-store-longde-plaza,LEGO® Store Longde Plaza,乐高(龙德广场店),official,,Asia,China,Beijing,"186 Litang Road, Beijing, China",39.90571,116.3913,010-86211888,bam;pab
store-lego-store-new-world-department-store,LEGO® Store New World Department Store,乐高(望京新世界百货店),official,,Asia,China,Beijing,"3 Chongwenmen Outer Street,, Beijing, China",39.90571,116.3913,010-67051321,bam;pab
store-lego-store-new-yansha-mall,LEGO® Store New Yansha Mall,,official,,Asia,China,Beijing,"Beijing, China",39.90571,116.3913,010-88864036,bam;pab
store-lego-store-solona-lifestyle-shopping-park,LEGO® Store Solona Lifestyle Shopping Park,,official,,Asia,China,Beijing,,39.90571,116.3913,010-59051801,bam;pab
store-lego-store-viva,LEGO® Store Viva,,official,,Asia,China,Beijing,"103/202-1, 63 East 3rd Ring Rd, Beijing, China",39.90571,116.3913,010-59037393,bam;pab
store-lego-store-wangfujing-beijing,LEGO® Store Wangfujing Beijing,,official,,Asia,China,Beijing,"No.88 Wangfujing Street, Beijing, China",39.90571,116.3913,+86 010 5978 5220,bam;mosaic_maker;pab
store-legoland-discovery-center-beijing,LEGOLAND Discovery Center Beijing,,official,,Asia,China,Beijing,,39.90571,116.3913,,
store-lego-store-changchun-mixc-lego,LEGO® Store ChangChun MixC LEGO,长春万象城,official,,Asia,China,Changchun,长春市南关区人民大街与解放大路交汇,43.8795,125.3267,,
store-lego-store-changchun-sky-city-mall,LEGO® Store ChangChun Sky City,摩天活力城MALL,official,,Asia,China,Changchun,长春市南关区卫星路和仙台大街交口东北角,43.835,125.379,,
store-lego-store-eurasia-shopping-mall,LEGO® Store Eurasia Shopping Mall,,official,,Asia,China,Changchun,"1F, Ouya Shopping Mall, Changchun, China",43.88448,125.31817,0431-85521886,bam;pab
store-lego-store-ferris-power-city,LEGO® Store Ferris Power City,,official,,Asia,China,Changchun,"119 1F,Ferris Power City,, Changchun, China",43.88448,125.31817,0431-80563969,bam;pab
store-lego-store-hongqi-street-wanda-plaza,LEGO® Store Hongqi Street Wanda Plaza,乐高(万达广场长春红旗街店),official,,Asia,China,Changchun,"616 Hongqi Street, Changchun, China",43.88448,125.31817,0431-80564647,bam;pab
store-lego-store-better-life,LEGO® Store Better Life,,official,,Asia,China,Changsha,"G26/27 1099 Fenglin Road, Changsha, China",28.20015,112.97172,0731-85232671,bam;pab
store-lego-store-changsha-id-mall,LEGO® Store ChangSha,长沙悦方ID MALL,official,,Asia,China,Changsha,长沙市天心区坡子街216号,28.1895,112.975,,
store-lego-store-changsha-bbk-star-city-world,LEGO® Store ChangSha BBK Star City World,乐高(长沙步步高星城天地店),official,,Asia,China,Changsha,长沙市雨花区中意一路523号步步高星城天地L1层,28.1109,113.0158,,
store-lego-store-changsha-center-impression-city,LEGO® Store ChangSha Center Impression City,长沙中心印象城,official,,Asia,China,Changsha,长沙市天心区坡子街216号,28.1897,112.9755,,
store-lego-store-changsha-huijule-highly-set,LEGO® Store ChangSha Huijule Highly Set,长沙荟聚购物中心,official,,Asia,China,Changsha,长沙市岳麓区洋湖路253号,28.1209,112.924,,
